"id","postcode","place_name","state_name","state_code","latitude","longitude"
8266,"3936",DROMANA,ROSEBUD DC,VIC,-38.3330002,144.962997
8267,"3936",SAFETY BEACH,ROSEBUD DC,VIC,-38.3139992,1.449
8268,"3937",RED HILL,ROSEBUD DC,VIC,-3.83699989,145.011993
8269,"3937",RED HILL SOUTH,ROSEBUD DC,VIC,-38.382,145.022995
8270,"3938",MCCRAE,ROSEBUD DC,VIC,-37.9900017,14.5209999
8271,"3939",BONEO,ROSEBUD DC,VIC,-38.3979988,144.904007
8272,"3939",CAPE SCHANCK,ROSEBUD DC,VIC,-38.4640007,144.899002
8273,"3939",FINGAL,ROSEBUD DC,VIC,-38.4249992,144.886993
8274,"3939",ROSEBUD,ROSEBUD DC,VIC,-38.3549995,144.906006
8275,"3939",ROSEBUD PLAZA,ROSEBUD DC,VIC,-3.83500004,144.904999
8276,"3941",RYE,ROSEBUD DC,VIC,-38.3699989,144.824005
8277,"3941",ST ANDREWS BEACH,ROSEBUD DC,VIC,-3.84100008,144.822998
8278,"3941",TOOTGAROOK,ROSEBUD DC,VIC,-38.368,144.862
8279,"3942",BLAIRGOWRIE,ROSEBUD DC,VIC,-38.3590012,144.768005
8280,"3943",SORRENTO,ROSEBUD DC,VIC,-38.3440018,14.4729996
8281,"3944",PORTSEA,ROSEBUD DC,VIC,-38.3380013,144.709
8282,"3945",BELLVIEW,LOCH,VIC,-37.9700012,145.154999
8283,"3945",JEETHO,LOCH,VIC,-38.394001,145.740997
8284,"3945",KROWERA,LOCH,VIC,-38.4360008,145.673996
8285,"3945",LOCH,LOCH,VIC,-38.3689995,145.709
8286,"3945",WOODLEIGH,LOCH,VIC,-38.4140015,145.639999
8287,"3946",BENA,BENA,VIC,-38.4329987,145.722
8288,"3950",KARDELLA SOUTH,KORUMBURRA,VIC,-38.4490013,145.876999
8289,"3950",KORUMBURRA,KORUMBURRA,VIC,-38.4309998,145.822998
8290,"3950",KORUMBURRA SOUTH,KORUMBURRA,VIC,-38.4589996,145.820999
8291,"3950",STRZELECKI,KORUMBURRA,VIC,-38.348999,145.888
8292,"3950",WHITELAW,KORUMBURRA,VIC,-38.4350014,145.776993
8293,"3951",ARAWATA,KORUMBURRA,VIC,-38.394001,145.888
8294,"3951",FAIRBANK,KORUMBURRA,VIC,-38.4109993,145.934998
8295,"3951",JUMBUNNA,KORUMBURRA,VIC,-38.4700012,14.5769997
8296,"3951",KARDELLA,KORUMBURRA,VIC,-38.4259987,145.865997
8297,"3951",KONGWAK,KONGWAK,VIC,-38.5180016,145.703003
8298,"3951",MOYARRA,KORUMBURRA,VIC,-38.4900017,145.740005
8299,"3951",OUTTRIM,KORUMBURRA,VIC,-38.493,145.766998
8300,"3951",RANCEBY,KORUMBURRA,VIC,-3.83699989,145.839005
8301,"3953",BERRYS CREEK,LEONGATHA,VIC,-38.4059982,146.069
8302,"3953",BOOROOL,LEONGATHA,VIC,-38.4430008,146.076996
8303,"3953",HALLSTON,LEONGATHA,VIC,-3.83500004,146.033005
8304,"3953",KOOROOMAN,LEONGATHA,VIC,-38.4669991,146.011002
8305,"3953",LEONGATHA,LEONGATHA,VIC,-38.4760017,145.945999
8306,"3953",LEONGATHA NORTH,LEONGATHA,VIC,-38.4469986,145.951004
8307,"3953",LEONGATHA SOUTH,LEONGATHA,VIC,-38.5320015,145.876007
